subjectnumber,condition,context,judgment,justification,fairness,no.bad.impact,bad.impact,once,chain.reaction,others.want,secret,agreement,resource,universalization,virtues
R_2TZbzNX1H8vZnQb,High,Buckets,1,There is plenty of water in the lake and 1 bucket will not effect it.,,1,,1,,,,,,,
R_3OvJ6KPi0f3WwXn,High,Rocks,1,there is still plenty of rocks on the path,,1,,,,,,,,,
R_10ZYxmpj8g98vxL,Low,Buckets,1,there is still plenty of water,,1,,,,,,,,,
103,Low,Buckets,0,There might be a little bit of water left.,,,,,,,,,,,
138,High,Rocks,0,There might be no rocks.,,,1,,,,,,1,,
267,Low,Rocks,0,There there will be no more rocks left,,,1,,,,,,1,,
R_4Jl6exBDcj8cTCh,Low,Buckets,1,"There was no agreement to not take water, no one else wanted it, the fish still have water",,,,,,,,,,,
263,Low,Rocks,1,There will always be more,,1,,,,,,,,,
263,High,Buckets,1,There will always be more,,1,,,,,,,,,
R_211HYoLKyyjpwv0,Low,Rocks,1,there will be a lot left,,1,,,,,,,,,
114,Low,Rocks,1,There will be a whole bunch of rocks on the path,,1,,,,,,,,,
209,Low,Rocks,0,There will be less rocks on the path,,,1,,,,,,,,
108,High,Buckets,0,There will be less water,,,1,,,,,,,,
183,Low,Rocks,1,There will be lots of rocks.,,1,,,,,,,,,
135,High,Rocks,1,There will be more rocks for the path,,1,,,,,,,,,
135,Low,Buckets,1,There will be more water for the fish,,1,,,,,,,,,
267,High,Buckets,0,There will be no more water,,,1,,,,,,1,,
262,High,Rocks,1,There will be plenty more.,,1,,,,,,,,,
262,Low,Buckets,1,There will be plenty more.,,1,,,,,,,,,
129,High,Rocks,1,There will be plenty of rocks left on the path,,1,,,,,,,,,
187,High,Buckets,1,There will be plenty of water left,,1,,,,,,,,,
R_211HYoLKyyjpwv0,High,Buckets,1,there will be water left,,1,,,,,,,,,
70,High,Buckets,0,There will only be a little bit of water left,,,1,,,,,,1,,
192,Low,Rocks,1,There will still be enough rocks left for the path.,,1,,,,,,,,,
R_pKJKrA2rUdIn1Pr,High,Buckets,1,there will still be enough water for the fish,,1,,,,,,,,,
238,High,Buckets,0,there will still be less water for the fish,,,1,,,,,,1,,
R_XSpQxsqW6UBq01z,High,Rocks,1,There will still be plenty of rocks,,1,,,,,,,,,
R_1kRNXWmVMqgjJmA,High,Rocks,1,There will still be plenty of rocks and no one else is taking one,,1,,,,,,1,,,
R_3knpYnRuPranccp,Low,Rocks,1,there will still be plenty of rocks left on the path,,1,,,,,,,,,
R_2rVmGNPi9zuZzlf,High,Rocks,1,There will still be plenty of rocks left.,,1,,,,,,,,,
R_1etJWM7ZNWgAG4T,Low,Buckets,1,There will still be plenty of water left for the fish. ,,1,,,,,,,,,
183,High,Buckets,1,There will still be plenty of water left.,,1,,,,,,,,,
R_pKJKrA2rUdIn1Pr,Low,Rocks,1,There will still be rocks,,1,,,,,,,,,
218,Low,Rocks,1,There will still be rocks left for the path.,,1,,,,,,,,,
119,High,Rocks,1,There will still be rocks left on the path.,,1,,,,,,,,,
R_1kRNXWmVMqgjJmA,Low,Buckets,1,There will still be water for the fish,,1,,,,,,,,,
119,Low,Buckets,1,There will still be water for the fish.,,1,,,,,,,,,
145,High,Buckets,1,There will still be water in the lake,,1,,,,,,,,,
R_2rVmGNPi9zuZzlf,Low,Buckets,1,There will still be water in the lake  for the fish.,,1,,,,,,,,,
218,High,Buckets,1,There will still be water left in the lake for the fish,,1,,,,,,,,,
185,High,Rocks,0,There won't be any more rocks,,,1,,,,,,1,,
196,Low,Rocks,0,There won't be any more rocks so they won't find their way home,,,1,,,,,,1,,
185,Low,Buckets,0,There won't be enough water,,,1,,,,,,1,,
259,High,Buckets,0,There would be less water for the fish.,,,1,,,,,,1,,
155,High,Buckets,0,There would be no more water for the fish ,,,1,,,,,,1,,
R_QfXpvEzKqZTa5hL,High,Buckets,1,there would be plenty of water left,,1,,,,,,,,,
167,Low,Rocks,1,There would still be enough,,1,,,,,,,,,
89,Low,Buckets,1,There would still be enough water.,,1,,,,,,,,,
152,Low,Rocks,1,There would still be plenty of rocks left,,1,,,,,,,,,
R_2QEx4vO54oNktTK,High,Rocks,1,"There would still be plenty of rocks left, and the others have already committed  to not getting any rocks",,1,,,,,,2,,,
R_3Nx2Rwmg1MDuKf4,High,Rocks,1,There would still be plenty of rocks on the path.,,1,,,,,,,,,
R_1QH2NwiXowNLMyH,High,Buckets,1,There would still be plenty of water left,,1,,,,,,,,,
256,High,Rocks,0,THere wouldn't be a rock in the spot,,,,,,,,,1,,
113,High,Rocks,0,There'd be no more rocks for the path,,,1,,,,,,1,,
118,Low,Rocks,1,There'd still be more rocks left on the path.,,1,,,,,,,,,
240,High,Rocks,1,there'd still be some left,,1,,,,,,,,,
118,High,Buckets,1,There'd still be some water in the lake.,,1,,,,,,,,,
240,Low,Buckets,1,there'd still be some water left,,,,,,,,,,,
83,Low,Buckets,1,There'd still be water left,,1,,,,,,,,,
197,Low,Rocks,1,There's a lot of rocks,,,,,,,,,,,
112,Low,Rocks,1,There's a lot of rocks plus nobody else wants the rocks,,,,,,1,,,,,
258,Low,Buckets,1,There's lots more water.,,1,,,,,,,,,
R_3DiJhdSzRrxQU6z,High,Rocks,0,There's lots of kids like Jacob who want to take rocks. It would only take a few kids taking rocks to ruin the path.,,,,,,1,,,,1,
104,High,Buckets,1,There's only one person taking water from the lake so there will be plenty of water.,,1,,,,,,,,,
128,Low,Rocks,0,There's other people that walk on the path that might want to take rocks but they don't.,,,,,,1,,,,,
285,Low,Rocks,1,There's still a lot more ,,1,,,,,,,,,
197,High,Buckets,1,There's still a lot of water,,1,,,,,,,,,
83,High,Rocks,1,There's still be a lot of rocks left,,1,,,,,,,,,
219,High,Rocks,1,There's still lots of rocks,,1,,,,,,,,,
141,High,Buckets,1,There's still plenty of lake water left.,,1,,,,,,,,,
141,Low,Rocks,1,There's still plenty of rocks left.,,1,,,,,,,,,
189,High,Rocks,1,There's still rocks left,,1,,,,,,,,,
85,Low,Buckets,1,There's still water left for the fish.,,1,,,,,,,,,
117,High,Rocks,1,There's way more than one.,,,,,,,,,,,
R_3iybQRxCZXozQh9,Low,Rocks,1,"They are in the nature and one rock wont hurt
",,1,,,,,,,,,
219,Low,Buckets,1,They still have plenty of water for the fish,,1,,,,,,,,,
R_27x9EOYrfmFU55p,High,Buckets,1,"They will find out once she comes back with the water & none of them will have to go get water so the problem will be solved., ",,,,,,,,,,,
95,Low,Buckets,0,waste of water,,,1,,,,,,,,
R_2VsCHTggC1kYNNv,High,Buckets,1,Water replenishes itself,,,,,,,,,,,
R_30oBDwBmtn8mGYW,High,Buckets,0,"What if they all show up early on different days and use the water, it would soon deplete the fishes home. ",,,,,,,,,1,1,
136,Low,Rocks,0,When he takes a lot of rocks they'll all be gone,,,1,,,,,,1,,
R_putURmatLa4RthT,High,Buckets,1,"Yes, but not for building a toy castle. It should be used for drinking only.",,,,,,,,,,,
R_1ONNzcEYkvxTvtZ,High,Rocks,1,"Yes, I think it would be okay.",,,,,,,,,,,
R_3EygiPagwGlNy6T,Low,Rocks,1,"Yes, no one will see and its just one rock.",,,,,,,1,,,,
R_elp5IZpcGY92mY1,High,Rocks,0,you are not supposed to take rocks from the path,,,,,,,,,,,
R_elp5IZpcGY92mY1,Low,Buckets,0,you are not supposed to take water from the lake,,,,,,,,,,,
81,Low,Buckets,0,You don't want to take water from the animals and it's not for good reason,,,,,,,,,,,
260,Low,Buckets,0,You need water for the fish –– if there's no water the fish will die.,,,1,,,,,,1,,
245,High,Buckets,0,,,,,,,,,,,,
71,High,Rocks,0,"""I don't know""",,,,,,,,,,,
92,Low,Rocks,0,"""I don't know""",,,,,,,,,,,
250,High,Rocks,0,"""I don't know""",,,,,,,,,,,
159,Low,Rocks,1,"""I forgot""",,,,,,,,,,,
257,Low,Rocks,1,"""I have a rock collection""",,,,,,,,,,,
235,High,Rocks,1,(no explanation),,,,,,,,,,,
69,Low,Buckets,1,"(originally not okay ""Because it's the fish's."") Changed to okay because there's no one else around",,,,,,,1,,,,
R_0iyZStYihj24PId,High,Rocks,1,"Again, there is no official rule presented in the story that says one can not take a rock.",,,,,,,,,,,
269,High,Buckets,0,All the fishes live in the water and they need water to live.,,,,,,,,,,,
R_3nUFQr8ZveQc2R9,High,Buckets,0,"Although no one would see her do it, it's still not moral. Just once could lead to the same kind of thinking from other people and end up emptying the lake.",,,,,,,3,,1,,1
R_RFaGIZevPYQY9l7,Low,Rocks,1,"As long as it's only one and he isn't greedy. And we know for a fact, there will NEVER be any other kids that want to take rocks. In the case, I'd say it's a victim-less crime. But this is operating under extreme circumstances. I really think the answer should be no, but given the hypothetical...",,,,,,,,,,,
188,Low,Rocks,1,As long as the kids don't start liking (and taking) rocks,,,,,1,,,,,,
264,High,Rocks,0,Beacuse he would take a rock before anyone else could,,,,,,,,,,,
258,High,Rocks,1,Beacuse there's lots of other rocks.,,1,,,,,,,,,
256,Low,Buckets,0,Beause there would be no more water in the spot that she took it,,,1,,,,,,1,,
233,High,Buckets,0,becasue of she takes too much water then the fish can't swim and they will die,,,1,,,,,,1,,
R_2amFQvzsKvYBlmS,Low,Rocks,0,because a couple more people like Jacob and it could destroy the path,,,,,,,,,1,1,
R_3GfZdpO7lUZXC6o,High,Buckets,0,Because all the kids wanted to do it ,,,,,,1,,,,,
R_V1OJw2HZWuOcqJj,High,Rocks,0,because all the other kids also wanted rocks form the path ,,,,,,1,,,,,
173,High,Rocks,1,Because everyone could share.,,,,,,,,,,,
R_2TTBH7BwCTmloHK,High,Rocks,0,Because everyone else also wants to take a rock and it wouldn't be fair if he got to and nobody else did.,1,,,,,1,,,,,
R_1oBcDd1w4C4BDZy,High,Rocks,0,Because everyone else wants one too,,,,,,1,,,,,
R_2U4rwuDgmd40iaV,High,Buckets,0,"Because everyone else wants to do it, but is refraining, because doing so would harm the fish.  It would be a selfish act that would damage a habitat if everyone did it.",,,1,,,1,,,,1,1
R_DAb8kXpOwMaFPtT,Low,Buckets,0,because everyone else will do it also,,,,,1,,,,,,
R_3knpYnRuPranccp,High,Buckets,1,Because everyone is not doing it.,,,,,,,,1,,,
230,Low,Rocks,0,because he already took one,,,,,,,,,,,
166,High,Rocks,0,Because he could take all of them and there would be no more left,,,1,,1,,,,1,,
R_8IJwi6BoAz0xQsN,High,Rocks,0,because he is doing it secretively and the other kids have not taken any,,,,,,,2,1,,,
R_3iEXANsKgJBIjly,Low,Rocks,1,Because he is the only one doing it so there will be no harm done,,1,,,,,,,,,
R_248VXlJh682wJds,Low,Rocks,1,Because he only is taking one and no one else takes them. He actually likes them.,,,,,,,,1,,,
204,High,Rocks,0,Because he promised he wouldn't ,,,,,,,,,,,
227,High,Rocks,1,Because he wants to take it.,,,,,,,,,,,
144,Low,Rocks,1,Because he wants to take one home,,,,,,,,,,,
R_ROaeQL5bcTTlDXj,Low,Rocks,1,Because he wants to. And there are still more rocks.,,1,,,,,,,,,
R_UVCiq72LXyqpKo1,High,Rocks,0,Because he would be breaking the compact he has with his friends to maintain the rocks.,,,,,,,,2,,,
91,Low,Rocks,0,Because he'll take all the rocks,,,1,,1,,,,1,,
231,High,Rocks,1,because he's just taking one,,,,,,,,,,,
160,High,Rocks,1,Because he's just taking one rock,,,,,,,,,,,
R_3QVmhSK9fJaH6Tf,High,Buckets,0,because her action would bring about harm to another living creature,,,1,,,,,,,,
R_3qR5KOTtDJP4oYH,High,Buckets,0,Because if could be harmful to the fish. ,,,1,,,,,,,,
R_2SIS4dKSn7rEp7z,High,Rocks,0,"Because if everyone did this, then nobody would be able to enjoy the rocks at the path.",,,,,,,,,1,1,
R_10ZYxmpj8g98vxL,High,Rocks,0,"because if everyone does that thinking no one will know, there will be no rocks left",,,,,,,,,1,1,
R_27PZg1PittVK0VJ,High,Buckets,0,"Because if everyone else thought the same way, there would still be no more water in the lake for the fish.",,,,,,,,,1,1,
222,High,Buckets,1,because if everyone takes there will be no more but if just one person does there will still be some ,,,,1,,,,,1,1,
R_248VXlJh682wJds,High,Buckets,0,"Because if everyone thinks this, then there won't be enough water left.",,,,,,,,,1,1,
242,Low,Rocks,1,Because if he just takes one rock and the other kids don't then there will still be rocks. ,,,,1,,,,1,,,
233,Low,Rocks,0,because if he takes all the rocks then people couldn't follow the path,,,1,,1,,,,1,,
75,High,Rocks,0,Because if he takes more of them there might be no path,,,1,,1,,,,1,,
221,Low,Rocks,0,because if he takes one maybe he'll take more,,,1,,1,,,,,,
R_4Ph1iYNEGcjtSdr,Low,Rocks,0,Because if he takes the rock other people might want to as well. ,,,,,1,,,,,,
217,Low,Rocks,0,"Because if he took one everyday, the path could disapear. ",,,1,,1,,,,1,,
R_5ulNyszMz6lcbpT,Low,Buckets,0,"because if it were good to do it, you would not have to do it secretly",,,,,,,2,,,,
R_5ulNyszMz6lcbpT,High,Rocks,0,"because if it were good to do it, you would not have to do it secretly",,,,,,,2,,,,
R_3qR5KOTtDJP4oYH,Low,Rocks,0,"Because if it's OK for him to do it, it should be OK for everyone to do it.  But if everyone did it, there'd be no rocks left at all. ",,,,,,,,,1,1,
R_3kHaE0FsPvgA2ne,High,Buckets,1,Because if just Mary does it there will still be plenty of water left.,,1,,1,,,,,,,
