duration,data,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,za,zb,zc,zd,ze,zf,zg,zh,age,gender,race,ethnicity,education,comments
262,7/2/19 10:53,R_2uU0nmLHzUGoECO,,,,,,,,,,,,,,,,,,Fill her bucket up with water from the lake and pour it on her toy castle.,1,There will still be plenty of water left for fish.,There will not be any water left for the fish.,0,0,1,It is only one time.,,There would be plenty of rocks left on the path.,There would be no more rocks left on the path.,To take rocks from the path for his collection.,0,0,1,It is only one rock.,,28,1,2,2,2,None
293,7/2/19 10:53,R_3JrqsAj9CEj5Zso,,,,,,,,,,,,,,,,,,Fill a bucket with water and pour it on her castle,1,there will be plenty of water,there would be no more water,0,0,0,,"How many others might have the same idea? She might think she's the only one, but why risk it?",plenty of rocks left,no more rocks left,take a rock,0,0,0,,"First, disturbing nature should be a no-no. In this instance it might be okay since no others want it (kind of like a scientist collecting a sample of a rare thing)",43,1,5,2,2,no
254,7/2/19 10:53,R_3VggOKaTL3SFuF3,there would still be water for the fish,there would be no water for the fish ,take water from the lake ,0,0,1,because no one else wants the water and there is no one around to see her do it ,,put a rock from the path in his rock collection,1,there would still be rocks in the path ,all the rocks would be gone,0,0,1,because there would still be rocks and no one would see him do it so no hard feelings,,,,,,,,,,,,,,,,,,,40,1,6,2,2,nope
309,7/2/19 10:53,R_2rZyBpOho1gkQzs,plenty of water will be left.,no more water in the lake.,pour water on her castle,0,0,1,if she only does it once it will be ok.,,take a rock from the path for his rock collection.,1,plenty will be left.,no more rocks will be left.,0,0,1,just one time will be fine,,,,,,,,,,,,,,,,,,,31,1,5,2,1,no. thank you very much.
381,7/2/19 10:53,R_D5ya7ibRRd2A3Kh,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle.,1,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish,0,0,0,,"The fish need the water to survive and, since it seems to be a very shallow lake, the water is not an abundant source she can just use at her own will.",there would still be plenty of rocks left on the path,there would be no more rocks left on the path,Jacob wants to take a rock from the path for his rock collection.,0,0,0,,"The rocks are serving a purpose in the path and he should leave them there, regardless of how much he wants one",26,2,5,2,3,"No, it was very straight foward!"
333,7/2/19 10:54,R_Z4tfJtWN5zGXDeV,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle.,1,plenty of water left for the fish.,there would be no more water in the lake for the fish.,0,0,0,,Because none else does it. If everyone decided to do it in secret there would be no more water left for the fish. ,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path.,Take a rock for his rock collection. ,,0,1,Since he is the only one that would do it there is no risk of the rocks being gone and none enjoying them. There are also no lives at risk in this story.,,28,2,5,2,3,
265,7/2/19 10:54,R_ABuGnf8X9XF30zf,,,,,,,,,,,,,,,,,,Mary wants to fill her bucket with water and pour it on her castle. ,1,"That should be fine, there is plenty of water. ",There would be less water and not enough for the fish in the lake. ,0,0,1,One person to take water is okay. ,,It would be okay if one person took a rock for their collection. There is more there. ,They would take the rocks from the path and there would not be any more rocks in path. ,Take a rock from the path. ,0,0,1,It is okay if only one takes a rock. ,,49,2,6,1,4,No
302,7/2/19 10:54,R_1hNqh4mhuIjP8BG,,,,,,,,,,,,,,,,,,Fill her bucket with water and pour it on her castle.,1,There would still be plenty of water left in the lake.,There would be no water left for the fish.,0,0,0,,Because it is not fair to the other kids and the water belongs in the lake for the fish.,There would be plenty of rocks left on the path,There would be no rocks left.,He wants to take a rock to add to his rock collection.,0,0,0,,"It is a path, not a place to take the rocks.  He has no right to take a rock from this path.",59,2,5,2,2,"No, it was simple to comprehend."
389,7/2/19 10:54,R_3FP902SG3NQ6j6W,,,,,,,,,,,,,,,,,,fill a bucket with lake water to pour on her toy castle,1,thered still be plenty of water for the fish,there would be no water for the fish,0,1,0,,she needs permission,It might make his friends jealous and want to take a rock too. It wouldn't really hurt anything.,There would be no more rocks on the path and they like this path because it has rocks.,take a rock from the path for his rock collection,0,1,0,,because it could mess with the eco system he needs permission from the landowner then it wouldn't hurt anything,34,2,5,2,1,no
348,7/2/19 10:54,R_2qwOdWTQEZWuVSe,There will be plenty of water left for the fish.,There would be no water left for the fish.,Take water from the lake,0,0,1,"Because when a child goes to a lake, they play with the water naturally.",,Take a rock from the path,1,There will be plenty of rocks left,There would be no more rocks,0,0,1,"Because some kids pick up rocks, most do not",,,,,,,,,,,,,,,,,,,47,2,5,2,2,no
360,7/2/19 10:54,R_5ulNyszMz6lcbpT,there will still be plenty of water left , there would be no more water, take water from the lake for her castle.,0,0,0,,"because if it were good to do it, you would not have to do it secretly",take one of the rocks from the path,1,there would still be plenty of rocks left ,there would be no more rocks left,0,0,0,,"because if it were good to do it, you would not have to do it secretly",,,,,,,,,,,,,,,,,,22,1,5,1,2,no
196,7/2/19 10:54,R_1PSPnS22LNKYhqE,,,,,,,,,,,,,,,,,,Fill her bucket with water from the lake and pour it on her toy castle.,1,"Nothing, there would still be plenty of water.",The lake would no longer have water for the fish.,0,0,0,,Because it would still be taking even if no one saw.,Nothing would happen.,There would be no rocks left.,Take a rock,0,0,1,Since no one else would take any.,,26,1,6,1,2,It all made sense.
332,7/2/19 10:54,R_6QLKSQCT6KsqYCd,Then everyone would do the same and start taking water from the lake.,"Then there would no more water in the lake, thus the fish could not swim. ",Put water on his castle,0,0,1,I think it is okay because she is the only person who wants the water and its only a small amount that will not make a difference. ,,"Take a rock for his collection
",1,There would still be rocks on the ground ,Nothing would happen as there would be plenty left on the path still,0,0,1,Because it does not matter if he takes a rock or not. There is still a lot of rocks so thus it should be okay.,,,,,,,,,,,,,,,,,,,20,2,5,2,2,no
339,7/2/19 10:54,R_1guMigkqEpXF5ac,,,,,,,,,,,,,,,,,,Pour lake water on her castle with her bucket.,1,There would be plenty of water for the fish.,There would be no water for the fish.,0,0,1,It's a single bucket of water and will cause no harm.,,Nothing and there would be plenty of rocks left for the path.,There would be no rocks left for the path.,Take a rock for his collection.,0,0,0,,"Most likely, the rock from the path is of no significance. If he takes it home, it will be one more piece of junk his mother will have to dust. It will be one more piece of clutter in the house. That isn't ok.",48,2,5,2,3,No
304,7/2/19 10:54,R_1NxY8BBX1drMAmb,The water would go down by a small amount and not affect the fish.,The fish would die because there would be no more water left in the lake.,Mary wants to get a bucket of water from the lake for her castle.,0,0,0,,"Just because someone doesn't see you do it, doesn't mean your actions don't have potential consequences. ",He wants to take a rock from the path for his collection of rocks.,1,There would be enough rocks left on the path.,"The path would be empty, no more rocks remain.",0,0,0,,"If he takes it, why shouldn't the other kids be allowed to take a rock too? It would be very selfish of him to do so.",,,,,,,,,,,,,,,,,,40,2,5,2,3,"No, everything was clear."
408,7/2/19 10:54,R_27PZg1PittVK0VJ,,,,,,,,,,,,,,,,,,She wants to fill her bucket with water from the lake and pour it on her toy castle.,1,There would still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,0,,"Because if everyone else thought the same way, there would still be no more water in the lake for the fish.",There would still be plenty of rocks left on the path.,There would be no more rocks left on the path.,He wants to take a rock from the path.,0,0,0,,Just because those particular kids don't want to take rocks does not mean no one else that visits the park will not want to. The rocks belong to the park and should remain there.,42,2,3,2,4,No
304,7/2/19 10:54,R_3IcnLbYghiLrnP6,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle,1,there will still be plenty of water left for the fish ,there would be no more water in the lake for the fish,0,0,0,,It would be detrimental to other living things,There would still be plenty of rocks left on the path,there would be no more rocks left on the path,take a rock from the path for his rock collection,0,0,1,"It's just a rock and there are plenty more of them. If there isn't a sign saying not to take them, and they are not valuable, except to the boy , then I don't see it as a problem.",,51,2,5,2,3,no
262,7/2/19 10:54,R_3knpYnRuPranccp,,,,,,,,,,,,,,,,,,Fill a bucket of water and pour it on her toy castle.,1,there will be water left for the fish,there would be no more water left for the fish,0,0,1,Because everyone is not doing it.,,there would be rocks left on the path,there would be no rocks left on the path,"take a rock from the path, for his collection",0,0,1,there will still be plenty of rocks left on the path,,35,1,5,1,1,I understood everything
242,7/2/19 10:54,R_4Jl6exBDcj8cTCh,There will still  be plenty of water left for the fish in the lake,There would be no water for the fish in the lake,take water from the lake for her castle,0,0,1,"There was no agreement to not take water, no one else wanted it, the fish still have water",,take a rock from the path and add it to his rock collection,1,there would still be plenty of rocks on the path,there would not be any rocks left on the path,0,0,0,,"everyone else (including him) agreed not to take a rock, so he should honor that",,,,,,,,,,,,,,,,,,26,2,5,2,4,no
447,7/2/19 10:54,R_3HCvfIG2q6XqEFO,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle.,1,There would be plenty of water left in the lake for the fish.,There would be no more water in the lake for the fish.,0,0,0,,Because it would be a waste of a natural resource that a living thing needs to survive.,There would be plenty of rocks left on the path,There would be no more rocks left on the path,Jacob wants to take a rock for his collection.,0,0,1,Because it's just one rock which won't make any difference. He likes to collect rocks and rock collecting is a great hobby for kids.,,47,1,5,2,3,No
411,7/2/19 10:54,R_3JwLfG8503YmpHM,there would still be plenty of water in the lake.,There would no water left for the fish and they would die.,put water from the lake on her sandcastle,0,0,1,Because its not a big deal and nobody else wants to do it anyways.,,Take rocks from the path in the park for his rock collection.,1,There would be one less rock.,"There would be less rocks, no rocks left if everyone took them.",0,0,1,Its a rock.,,,,,,,,,,,,,,,,,,,46,1,5,2,3,I was not quite sure if you wanted us to repeat what was said or use our own words.
314,7/2/19 10:55,R_1lt0q3VbQrsViqn,,,,,,,,,,,,,,,,,,Fill her bucket and pour it on her castle.,1,There will still be plenty of water left for the fish.,There would be no more water left for the fish.,0,0,1,Because there will be enough water left for the fish if only one person does it.,,There would still be plenty of rocks.,There would be no more rocks on the path.,Take rocks from the path.,0,0,1,Because none of the other kids want to take them so there will still be plenty more.,,36,1,3,2,2,Perfectly clear
365,7/2/19 10:55,R_3iybQRxCZXozQh9,,,,,,,,,,,,,,,,,,She want to fill her bucket with water and dump it on the castle,1,There will still be water in lake for the fish,There will be no water left.,0,0,1,I don't believe that one bucket will hurt.,,There would still be plenty of rocks for the path.,There would be no rock left for the path.,Take a rock for his collection,0,0,1,"They are in the nature and one rock wont hurt
",,38,2,5,2,1,no
436,7/2/19 10:55,R_1j7Z26TT42e5VNh,There will still be plenty of water left for the fish,There would be no more water in the lake for the fish.,Take water from the lake and put the water on her castle,0,0,1,There is still plenty of water for the fish,,Take a rock from the path,1, there would still be plenty of rocks left on the path,there would be no more rocks left on the path,1,0,0,,"Because for it to be fair everyone else should take a rock, and that would ruin the path",,,,,,,,,,,,,,,,,,29,1,5,2,3,The purpose of the study was confusing
278,7/2/19 10:55,R_1l9ojTRYjMjYj44,A small amount of water in the lake would be reduced,The entire lake would become almost empty,Pour water on her toy castle,0,0,1,It not like she is destorying the fishes habitat,,Take rocks,1,other rocky left,all will be gone,0,0,0,,Giving into desires once leads to it happening again,,,,,,,,,,,,,,,,,,19,2,2,2,2,no
275,7/2/19 10:55,R_3foCHSNkRDhthzX,,,,,,,,,,,,,,,,,,Fill a bucket with lake water and pour it on her toy castle.,1,There will be plenty of water left for the fish.,There will be no more water left for the fish.,0,0,1,There is plenty of water left.,,One rock would be missing.,There may be no rocks left.,Take rocks from the path.,1,0,1,It's only one rock that will be missing.,,22,2,3,2,3,
378,7/2/19 10:55,R_XXoY7ZJnEK3gOlj,If just one person takes water from the lake there will still be plenty of water left for the fish," If everyone takes water from the lake, then there would be no more water in the lake for the fish.",take water from the lake,0,0,1,it won't be notice,,He would love to take one of the rocks from the path and put it in his rock collection,1,here would still be plenty of rocks left on the path," If everyone took the rocks for their rock collections, then there would be no more rocks left on the path.",0,0,1,because it won't be notice,,,,,,,,,,,,,,,,,,,34,2,5,2,3,no
489,7/2/19 10:55,R_55ysQA8373hhlzH,,,,,,,,,,,,,,,,,,take water from the lake and pour it in her toy castle,1,there would be a bunch of water left,there would be no more water in the lake for the fish,0,0,1,taking one bucket of water from the lake will not drastically effect the lake overall.,,there would still be a lot of rocks left,there would be no more rocks left,he wants to take a rock from the path,0,0,1,Taking one rock is not going to hurt anything or effect anyone else in a major way,,34,2,3,2,3,everything was very easy to understand
463,7/2/19 10:55,R_3DiJhdSzRrxQU6z,There will still be plenty of water for the fish in the lake.,There would be no more water for the fish in the lake.,Take water for the lake for her castle.,0,0,1,"It's just one bucket of water, I think the fish will be fine.",,Wants to take a rock from the path for the rock collection.,1,There would still be plenty of rocks on the path.,There'd be no more rocks on the path.,0,0,0,,There's lots of kids like Jacob who want to take rocks. It would only take a few kids taking rocks to ruin the path.,,,,,,,,,,,,,,,,,,31,1,5,,3,Nope
423,7/2/19 10:55,R_2tEhqBCIhegIPRy,,,,,,,,,,,,,,,,,,Fill a bucket with water and pour it on her castle ,1,Still water for fish,No water for fish,0,0,1,It won't hurt the fish,,Still rocks for path,No rocks for path,Take rocks for his collection,0,0,1,Still plenty of rocks,,37,2,5,2,2,no
371,7/2/19 10:55,R_3lxlQ7yt3N9AD6z,There would still be plenty of water,There would be no water for the fish,Take a bucket of water from the lake for her castle,0,0,1,"No one else wants to take water from the lake, and taking a single bucket still leaves plenty for the fish",,Jacob wants to take a rock from the path and add it to his rock collection.,1,There would be plenty of rocks left on the path,There would be no rocks left on the path,0,0,0,,It sounds like Jacob and his friends agreed not to take rocks. Just because no one will see him doesn't mean it is OK to do. What if the other kids all end up in a similar situation and they all take a rock thinking they are the only ones taking rocks and no one is seeing them? Then the path would have no rocks.,,,,,,,,,,,,,,,,,,35,2,5,2,3,Nothing
424,7/2/19 10:55,R_1QH2NwiXowNLMyH,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy cake. ,1,There would still be plenty of water left for the fish,There would be no more water in the lake for the fish. ,0,0,1,There would still be plenty of water left,,There would still be plenty of rocks left on the path. ,There would be no more rocks left on the path. ,Take rocks from the path for his rock collection. ,0,0,0,,"I honestly have no idea, unless they aren't ""just rocks"", but are crystals or gems or something more valuable & he doesnt realize it. ",25,2,5,2,2,Asking why taking a rock wasn't okay. 
383,7/2/19 10:55,R_rq1nQPDLBEnYwDv,,,,,,,,,,,,,,,,,,Mary wants to fill a bucket with water from the lake and pour it onto her toy castle.,1,Nothing. There would still be a lot of water left in the lake for the fish.,There woudn't be any water left for the fish,0,0,1,Because there will still be enough water in the lake for the fish.,,Nothing would change. There will still be plenty of rocks left on the path.,There wouldn't be any rocks left on the path.,He wants to take a rock from the path and add it to his rock collection.,0,0,1,"Because the path will still have enough rocks if he removes just one. Also, the other kids wouldn't be jealous since they aren't really interested in rocks anyway.",,30,2,5,1,3,no
401,7/2/19 10:55,R_2q7Bq7TJ2ItkKof,,,,,,,,,,,,,,,,,,Mary wishes to fill a bucket with water from the lake and pour it on her toy castle.,1,There would still be water left for the fish in the lake.,There would be no more water in the lake for the fish.,0,0,0,,"It is the beginning of a deceitful behavior. Whether taking one bucket of water when no one else can see, or not, ultimately if  enough people think this way, the lake will be emptied.",There would still be plenty of rock on the path.,The path would disappear as there would be no more rocks.,He likes rocks and wants to take one for his collection.,0,0,0,,"It will become a habit and this habit disrupts the landscape. Taking bits here and there, while maybe not noticeable, destroys the specific biome/environment a bit at a time.",55,2,5,2,4,Not at all. 
386,7/2/19 10:56,R_2WGrYskcAyHyiTA,,,,,,,,,,,,,,,,,,Mary would like to fill a bucket with water from the lake and pour it on her toy castle,1,If just one person takes water from the lake there will still be plenty of water left for the fish,"If everyone takes water from the lake, then there would be no more water in the lake for the fish",0,0,1,"Because its just a pail of water, its not gallons ",,there would still be plenty of rocks left on the path,there would be no more rocks left on the path,Take a rock for his rock collection,0,0,1,Because taking a rock is not stealing. The common rock comes from the earth,,27,1,2,,3,Not confusing. But a good warm up 
383,7/2/19 10:56,R_0iyZStYihj24PId,There is enough water for the fish.,There is no more water for the fish.,Take water from the lake to make her castle wet.,0,0,1,"One bucket will not hurt anything. Plus, there have been no established rules about taking water, only that others do not want to do that action.",,Take a rock from the path for his collection.,1,There are still plenty of rocks on the path.,There would be no more rocks on the path.,0,0,1,"Again, there is no official rule presented in the story that says one can not take a rock.",,,,,,,,,,,,,,,,,,,46,1,5,2,3,no
402,7/2/19 10:56,R_120fUzypKYmRYQb,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle,1,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish,0,0,0,,Mary should know that the fish probably need that water more than she does to pour on a sand castle,there would be plenty of rocks left on the path,there would be no more rocks left on the path,take a rock from the path for his collection,0,0,1,if he only takes one rock for his collection there will still be plenty of rocks left on the path,,56,2,5,2,3,no
425,7/2/19 10:56,R_XiVipkCod6masut,There will be water left over for the fishes.,There would be no water left over for the fishes.,She wants her castle to be wet,0,0,1,Because there will water left over for the fishes and no one else wants their castles wet.,,Take rocks from the park for his rock collection.,1,There would be plenty of rocks left on the path. ,There wold be no rocks left on the path.,0,0,1,Because there would still be rocks left over on the path and it will help him with his rock collection.,,,,,,,,,,,,,,,,,,,22,1,2,2,3,"No, it was not confusing or unclear"
406,7/2/19 10:56,R_SZPfGzNyt6f3yal,there will be plenty of water left,it would drain the lake,put lake water in her castle,0,0,1,nobody said it wouldn't be,,take a rock from the path,1,there would still be plenty of rocks,there would be no rocks,0,0,0,,because none of the other kids do it ,,,,,,,,,,,,,,,,,,40,2,5,2,2,nope
409,7/2/19 10:56,R_2amFQvzsKvYBlmS,,,,,,,,,,,,,,,,,,fill a bucket up with water and pour it over her rock castle.,1,there will still be plenty of water for the fish,there will be no more water for the fish,0,0,0,,because if more people thought like mary and carried out their actions there will be no more water in the lake ,there will still be plenty of rocks,there would be no more rocks left on the path,take a rock for his collection,0,0,0,,because a couple more people like Jacob and it could destroy the path,28,2,6,1,2,
402,7/2/19 10:56,R_3iBRKxUPBtL4cmK,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle,1,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,0,,Because the other kids would like to do it so it wouldn't be fair for her to.,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path.,Take a rock from the path for his collection.,0,0,1,Because it would just be 1 rock.,,56,2,5,2,2,no
236,7/2/19 10:56,R_3OdMpLQT2zinmi7,Very little,The water would be gone.,Pour water on her castle.,0,0,1,It has no effect on the lake.,,Take a rock.,1,Nothing,there would be no more rocks.,0,0,0,,The kids made an agreement previously.,,,,,,,,,,,,,,,,,,30,1,5,2,3,no
284,7/2/19 10:56,R_2tlhzQC1wP3DJH1,,,,,,,,,,,,,,,,,,none,1,one,no,0,1,1,none,,collections then left on the path,yes,rock,1,1,1,yes,,34,1,3,1,4,none
287,7/2/19 10:56,R_eCGosKZ0RtRRUKl,,,,,,,,,,,,,,,,,,none,1,plenty,fish,1,1,1,correct answer,,jacob,path,rock collection,1,1,1,correct answer,,22,2,5,1,3,no
474,7/2/19 10:57,R_3nip5zn3NpE0UL6,,,,,,,,,,,,,,,,,,Fill her bucket with water and pour it on her toy castle.,1,There would still be plenty of water left in the lake.,Then there would be no more water left in the lake.,0,1,1,"she will only do it once, and there is plenty of water in the lake for the fish.",,There would still be plenty of rocks left on the path.,there would be no more rocks on the path.,Take a rock for his rock collection.,0,0,1,There would be plenty of rocks left on the path.,,41,2,5,2,1,no
398,7/2/19 10:57,R_SVvkw3KWBWexBwR,there would be plenty of water left in the lake for the fish,there would be no more water in the lake for fish,take water from the lake and make her castle wet,0,0,1,"No one else wants to use the water and presumably the water will be replaced eventually anyway, so the lake isn't in danger of going dry.",,Take a rock from the path to put in his rock collection.,1,there would be plenty of rocks left in the path,there would be no more rocks left on the path,0,0,0,,"I think Jacob should assume that everyone else can still take a rock eventually and fully deplete the path.  So he shouldn't take a rock and contribute to that negative outcome, even if in isolation it appears that what he's doing isn't harmful.",,,,,,,,,,,,,,,,,,41,1,5,2,3,No.
279,7/2/19 10:57,R_2VeVF5SGwxeSCld,"Nothing, there would be plenty of water left.",The fish would die,Take water from the lake,0,0,1,Because it is not harming anything an nobody else wants to take water anyways,,Take a rock from the path for his rock collection,1,"There would still be enough rocks, no negative effect",The path would be ruined,0,0,0,,"Because the other kids also want to take a rock and he knows this, it would be unfair for him to take on in secret.",,,,,,,,,,,,,,,,,,31,2,5,2,2,No
234,7/2/19 10:57,R_ONkMjPokGaZSBXz,the fish would still be there,no more water for the fish,wants to take from the lake,0,0,1,cause it's the right thing to do? ,,he wants to take one of the rocks from the path and put it into his collection.,1,there would still be a lot of rocks,there would be none left,1,1,0,,"he lacks integrity -- they know that taking from the path is wrong and will lead to an undesirable state. Also i answered the last two questions wrong, oops",,,,,,,,,,,,,,,,,,21,1,2,2,3,have the story all in one slide please
494,7/2/19 10:57,R_28NcdATGSRFNCGf,There would still be enough water left in the lake for the fish.,There would not be enough water left in the lake for the fish to survive.,To take water from the lake and dump it on her toy castle.,0,0,1,"If she does it just once and is the only person to do it, there will not be a large effect on the lake. Mary will be happy and the fish in the lake will not be harmed. Limited resource use can be allowable provided it is done in a way as to not deplete the resource. For example, whaling is done by the Inuit and is small enough in scale that it does not harm the overall health of global whale populations. However, when whaling was popular at a global level it was harmful.",,To take a rock from the rock path and keep it for his rock collection.,1,There would be enough rocks left on the path.,There would be no more rocks on the path.,0,0,0,,In this case the rocks are a wanted resource and there is a shared desire among all of the kids to leave the rocks where they are to protect the path. Taking a rock would not greatly damage the path but would possibly allow for other kids to justify taking rocks.,,,,,,,,,,,,,,,,,,25,1,5,2,3,No
217,7/2/19 10:58,R_3dKgEjpkawgk2CH,There would be enough water for fish still. ,There would be no more water for the fish. ,Mary wants to take water out of the lake for her sand castle. ,0,0,1,No one else wants to do it so there will be enough water for the fish left. ,,He wants to take a rock from the path for his collection. ,1,There would still be plenty of rocks left. ,There would be no more rocks left. ,0,0,1,Because it will cause no harm and no one will see it. It is not against the law. ,,,,,,,,,,,,,,,,,,,24,2,5,2,4,none
210,7/2/19 10:58,R_ROaeQL5bcTTlDXj,,,,,,,,,,,,,,,,,,Pour water on her toy castle.,1,Still water for the fish.,No more water for the fish.,0,0,1,Because she wants to do it. And there will still be water left.,,Still be plenty of rocks.,There would be no more rocks.,Take rocks from the path,0,0,1,Because he wants to. And there are still more rocks.,,37,1,5,2,2,Nope.
576,7/2/19 10:58,R_8J7gm2H8yr0BIQx,,,,,,,,,,,,,,,,,,Mary would like to fill a bucket with water from the lake and pour it on her toy castle.,1,If one person takes water from the lake there will still be plenty of water left for the fish.,Then there would be no more water in the lake for the fish.,0,0,0,,Because that is being selfish ,Then there would still be plenty of rock left on the path,There would be no more rocks left on the path.,Take rpcks from the path ans add to his rock collection ,0,0,0,,"Because it's not his it might be there for a reason, at that age he shouldn't just take things because he likes them",28,2,5,2,4,
287,7/2/19 10:58,R_3nUFQr8ZveQc2R9,,,,,,,,,,,,,,,,,,Fill a bucket with water and pour it on her toy castle.,1,There would still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,0,,"Although no one would see her do it, it's still not moral. Just once could lead to the same kind of thinking from other people and end up emptying the lake.",There would still be plenty of rocks left on the path.,There would be no rocks left on the path.,Take rocks from the path.,0,0,1,It doesn't seem to have any major benefits to the future of the path.,,28,1,5,2,3,No
217,7/2/19 10:58,R_1GVcaqaoFSen3wS,There is still plenty of water.,no water in the lake for fish.,pour water on her castle,0,0,1,She is the only one taking the water.,,take a rock for his collection,1,there would be plenty left,no more rocks on the path,0,0,1,He is the only one taking a rock.,,,,,,,,,,,,,,,,,,,47,2,5,2,2,no
683,7/2/19 10:58,R_2rVmGNPi9zuZzlf,there will still be plenty of water ,there would be no more water in the lake,get water for her castle,0,0,1,There will still be water in the lake  for the fish.,,Take one of the rocks from the path to add to his rock collection.,1,It would still be plenty of rocks left on the path.,Then there would not be plenty of rocks left on the path.,0,0,1,There will still be plenty of rocks left.,,,,,,,,,,,,,,,,,,,23,2,3,2,2,no
378,7/2/19 10:59,R_cHEEIDDjXHPVcVr,,,,,,,,,,,,,,,,,,Mary wants to fill a bucket of water and pour it on her castle.,1,There would be plenty of water for the fish.,There would not be plenty of water for the fish.,0,0,0,,"Because if one child takes water from the lake every day, there will not be plenty of water for the fish.",There would still be plenty of rocks left on the path.,There would not be plenty of rocks left on the path.,Jacob wants to take a rock from the path.,0,0,0,,"Eventually, there would not be enough rocks for the path.",46,2,5,2,4,
510,7/2/19 10:59,R_2y9F2wUa9J6WsKE,,,,,,,,,,,,,,,,,,Pour water from the bucket onto her toy castle.,1,It would seep back into the lake.,It would seep back into the lake.,0,0,1,"Technically she is not taking the water from the lake, because she is pouring it out.   If she she jumped into the car and took of with the bucket of water, then she would be taking water from the lake.",,Not much would happen if just one person took a rock.,There would eventually be no more rocks to take; and they would all be gone.,Jacob wants to take a rock for his rock collection. ,0,0,0,,It is unethical for Jacob to take something that does not belong to him.,45,1,5,2,3,
700,7/2/19 10:59,R_2ZZHa6SkZV0lALn,If just one person takes water from the lake there will still be plenty of water left for the fish. ,"If everyone takes water from the lake, then there would be no more water in the lake for the fish.",she want take water to build a castles.,1,1,0,,there will be no water for the fish's.,He would love to take one of the rocks from the path and put it in his rock collection,1,"If just one person took a rock for his rock collection, there would still be plenty of rocks left on the path. If", then there would be no more rocks left on the path. ,1,1,0,, then there would be no more rocks left on the path. ,,,,,,,,,,,,,,,,,,59,2,3,2,2,no
300,7/2/19 10:59,R_2bJFTeSWyGbGvOM,,,,,,,,,,,,,,,,,,fill a bucket with water and pour it on her toy castle. ,1,everyone else would take water from the lake. ,There would not be enough water for the fish. ,0,0,1,Nobody else will see her and there is enough water in the lake for her to do it. ,,Everyone would take a rock for their collection. ,There would be no more rocks on the path. ,Take a rock from the path. ,0,0,1,One rock missing from the path won't matter and nobody else wants a rock anyhow. ,,50,2,5,2,2,No
319,7/2/19 10:59,R_e2paI3w49xFCJ8Z,,,,,,,,,,,,,,,,,,She wants to fill a bucket with water and pour it on her toy castle.,1,There would be plenty of water for the fish.,There would be no more water for the fish.,0,0,0,,"If the lake is small enough, this can cause a huge ecological problem.",Then there would still be plenty of rocks.,"If everyone took rocks, there would be less rocks on the path.",Take rocks from the path.,0,0,1,Kid has a rock collection and it doesn't seem all that bad.,,27,1,5,1,3,No
528,7/2/19 11:00,R_2sOI34WqEklUe4x,,,,,,,,,,,,,,,,,,Fill a bucket with water and pour it on her toy castle.,1,There would still be plenty of water in the lake for the fish.,There would be no more water in the lake for the fish.,0,0,0,,It's unfair for her to be able to take water from the lake but not any of the other children. Just because no one will see does not make it ok for her to do.,There would be plenty of rocks left on the path.,There would not be any more rocks left on the path.,Take a rock from the path for his rock collection.,0,0,1,"No one else wants a rock, but he wants one for his collection. Even if everyone did take a rock from the path and there were no more left, the consequences would not be that bad unlike the other story where the fish would die if they all took buckets of water.",,30,2,5,2,1,No
346,7/2/19 11:00,R_3QLVvFSsij4YQMl,  If just one person takes water from the lake there will still be plenty of water left for the fish," If everyone takes water from the lake, then there would be no more water in the lake for the fish.",Mary wants to wet her castle.,0,0,1,Cause no one will see and there is plenty left.,,Take a rock from the path and add it to his collection.,1,There would be plenty left,There would be no more rocks left.,0,0,1,Cause its only one and no one sees the tree that falls in the woods. Does it make a sound?,,,,,,,,,,,,,,,,,,,31,1,6,2,3,no
570,7/2/19 11:00,R_1DFNy5MclTHx0AI,there would be plenty of water left,there would be no water for the fish,put water from the lake on her castle,0,0,1,"rainwater will maintain plenty of water in the lake for more than a few buckets, we are not talking about supplying water for a city.",,take a rock from the path and add it too his collection,1,there would be plenty of rocks left,there would be no rocks left,0,0,1,there are plenty more rocks left in this world so this doesn't matter,,,,,,,,,,,,,,,,,,,41,1,5,2,3,no
